provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code
PR_00070,5301742689,Mary,Garcia,DO PhD,"Mary Garcia, DO PhD",Emergency Medicine,3028 Sunset Blvd,,Santa Ana,CA,91001,(818) 988-6095,6285 Hollywood Blvd,,Santa Ana,CA,90005,A49576,CA,2023-01-24,Unknown,True,19,NYU Grossman School of Medicine,Cleveland Clinic,2025-05-13,217927298X
PR_00071,9187851916,Barbara,Martinez,DO PhD,"Barbara Martinez, DO PhD",Psychiatry,9925 Beverly Dr,,Oakland,CA,94001,(212) 760-9281,9925 Beverly Dr,,Oakland,CA,94001,A97044,CA,2024-03-23,Yes,True,11,NYU Grossman School of Medicine,Mount Sinai Hospital,2025-07-05,291307681X
PR_00072,0640391064,Christopher,Zhang,DO PhD,"Christopher Zhang, DO PhD",Anesthesiology,8362 First Ave,Suite 525,New York,NY,11203,(929) 917-2044,8362 First Ave,Suite 525,New York,NY,11203,060NY160541,NY,2025-08-04,Unknown,True,5,UCSF School of Medicine,Massachusetts General Hospital,2025-04-09,254877191X
PR_00073,2868230046,William,Rodriguez,DO PhD,"William Rodriguez, DO PhD",Cardiology,6267 First Ave,Suite 777,Yonkers,NY,11202,(310) 889-9920,6267 First Ave,Suite 777,Yonkers,NY,11202,060NY239449,NY,2024-12-13,No,False,15,University of Pennsylvania Perelman School of Medicine,Mount Sinai Hospital,2025-03-09,220820038X
PR_00074,0673830288,Thomas,Gonzalez,MD,"Thomas Gonzalez, MD",Psychiatry,6869 Amsterdam Ave,Suite 203,New York,NY,10004,(347) 439-6224,6869 Amsterdam Ave,Suite 203,New York,NY,10004,060NY568127,NY,2023-04-10,Unknown,False,16,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2024-09-29,269961132X
PR_00075,4628733428,Joseph,Clark,MD PhD,"Joseph Clark, MD PhD",Dermatology,9122 Amsterdam Ave,,Queens,NY,11202,(310) 259-7761,5643 Columbus Ave,,Yonkers,NY,14201,060NY536548,NY,2025-04-16,No,True,25,University of Pennsylvania Perelman School of Medicine,NewYork-Presbyterian Hospital,2025-05-21,244327148X
PR_00076,9837354035,Rajesh,Garcia,DO PhD,"Rajesh Garcia, DO PhD",Emergency Medicine,1515 Ventura Blvd,Suite 789,San Jose,CA,90001,(917) 959-2922,1515 Ventura Blvd,Suite 789,San Jose,CA,90001,A15183,CA,2023-05-30,Unknown,False,16,University of Michigan Medical School,Cleveland Clinic,2025-02-11,232122457X
PR_00077,5355609320,Jessica,Lee,MD PhD,"Jessica Lee, MD PhD",Nephrology,8744 Columbus Ave,Suite 625,Rochester,NY,10005,212  467.7841,8744 Columbus Ave,Suite 625,Rochester,NY,10005,060NY588640,NY,2023-07-21,No,True,13,NYU Grossman School of Medicine,Cleveland Clinic,2025-02-20,276475853X
PR_00078,8728080109,Wei,Thomas,DO PhD,"Wei Thomas, DO PhD",Dermatology,5531 Lexington Ave,,Syracuse,NY,11203,(212) 622-3252,5531 Lexington Ave,,Syracuse,NY,11203,060NY469283,NY,2023-12-13,Unknown,True,5,Johns Hopkins School of Medicine,Massachusetts General Hospital,2025-05-14,267878323X
PR_00079,8408621186,Elizabeth,White,MD,"Elizabeth White, MD",Emergency Medicine,7917 Santa Monica Blvd,,Los Angeles,CA,90001,(646) 446-4144,7917 Santa Monica Blvd,,Los Angeles,CA,90001,A12192,CA,2025-12-20,Unknown,False,23,Columbia University Vagelos College of Physicians and Surgeons,UCSF Medical Center,2025-07-24,250070135X
PR_00080,2176591804,Jennifer,Robinson,DO,"Jennifer Robinson, DO",Family Medicine,3701 Melrose Ave,Suite 488,San Diego,CA,90001,(917) 416-8790,3701 Melrose Ave,Suite 488,San Diego,CA,90001,A72390,CA,2023-04-25,No,True,5,Columbia University Vagelos College of Physicians and Surgeons,Massachusetts General Hospital,2025-06-03,242209421X
PR_00081,2185016312,John,Wilson,DO,"John Wilson, DO",Oncology,6526 Wilshire Blvd,,Fresno,CA,90003,929  819.7499,6526 Wilshire Blvd,,Fresno,CA,90003,A61007,CA,2024-11-10,No,True,18,UCSF School of Medicine,Mount Sinai Hospital,2025-05-09,247756170X
PR_00082,4262655117,Jessica,Harris,DO PhD,"Jessica Harris, DO PhD",Pediatrics,9599 Columbus Ave,,Yonkers,NY,10002,(212) 515-8286,9599 Columbus Ave,,Yonkers,NY,10002,060NY358421,NY,2023-05-31,No,False,7,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2025-05-30,257845091X
PR_00083,6618398263,Elizabeth,Chen,DO PhD,"Elizabeth Chen, DO PhD",Anesthesiology,1469 Third Ave,,Albany,NY,10002,(646) 342-5405,1469 Third Ave,,Albany,NY,10002,060NY503951,NY,2023-01-26,No,False,32,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2025-06-09,258341261X
