license_number,provider_name,first_name,last_name,license_type,profession_code,specialty,status,issue_date,expiration_date,last_renewal_date,address_line1,address_city,address_state,address_zip,phone,disciplinary_actions,board_certified,medical_school,verification_date
060NY749813,"Linda Martinez, DO",Linda,Martinez,Physician,060,Nephrology,Expired,2018-09-09,2024-05-08,2023-03-25,9273 Columbus Ave,Queens,NY,10003,3478939955,[],True,NYU Grossman School of Medicine,2025-09-02
060NY805000,"Priya Sanchez, MD PhD",Priya,Sanchez,Physician,060,Otolaryngology,Expired,2021-02-25,2024-06-20,2023-08-09,6465 Broadway,Buffalo,NY,142**,(424) 426-2035,[],False,UCLA David Geffen School of Medicine,2025-09-02
060NY879238,"Michael Martin, DO PhD",Michael,Martin,Physician,060,Otolaryngology,Expired,2022-03-04,2025-05-08,2024-12-07,3847 York Ave,Queens,NY,11202,917- 654-8285,[],False,NYU Grossman School of Medicine,2025-09-02
060NY915809,"Mary Johnson, DO",Mary,Johnson,Physician,060,Endocrinology,Expired,2022-10-29,2025-01-11,2023-05-21,2077 Central Park West,Yonkers,NY,14201,(310) 858-1510,[],False,UCLA David Geffen School of Medicine,2025-09-02
060NY714953,"Linda Miller, MD PhD",Linda,Miller,Physician,060,Cardiology,Expired,2022-01-09,2024-11-06,2023-08-05,4177 Third Ave,Queens,NY,11203,424  719.4485,[],False,Stanford University School of Medicine,2025-09-02
060NY341288,"Jennifer Liu, MD",Jennifer,Liu,Physician,060,Ophthalmology,Revoked,2022-03-23,2025-10-21,2023-11-17,4939 Park Ave,Queens,NY,10005,(424) 639-7626,[],False,Stanford University School of Medicine,2025-09-02
060NY297383,"David Garcia, DO PhD",David,Garcia,Physician,060,Urology,Expired,2021-06-19,2024-10-20,2023-08-02,9082 Central Park West,New York,NY,11203,(626) 376-1641,[],False,Yale School of Medicine,2025-09-02
060NY505341,"Fatima Jackson, DO PhD",Fatima,Jackson,Physician,060,Emergency Medicine,Expired,2018-12-25,2024-08-04,2022-09-17,5544 Columbus Ave,New York,NY,11201,(646) 809-2388,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY337547,"Linda Kumar, MD PhD",Linda,Kumar,Physician,060,Dermatology,Expired,2018-06-24,2023-10-09,2021-10-13,5061 Madison Ave,Bronx,NY,11201,6468117172,[],True,University of Michigan Medical School,2025-09-02
060NY515712,"Li Davis, MD PhD",Li,Davis,Physician,060,Pathology,Inactive,2021-03-01,2025-10-25,2024-10-18,2627 Lexington Ave,Syracuse,NY,14201,(646) 340-1627,[],False,UCSF School of Medicine,2025-09-02
060NY227767,"Mohammed Garcia, MD",Mohammed,Garcia,Physician,060,Psychiatry,Expired,2019-05-03,2023-04-08,2023-03-07,2450 York Ave,Albany,NY,11202,(626) 727-4963,[],True,UCLA David Geffen School of Medicine,2025-09-02
060NY924613,"Joseph Wang, DO PhD",Joseph,Wang,Physician,060,Ophthalmology,Active,2019-05-06,2025-11-05,2025-04-28,1403 York Ave,Rochester,NY,10002,7185534950,[],True,NYU Grossman School of Medicine,2025-09-02
060NY855638,"Li Garcia, MD PhD",Li,Garcia,Physician,060,Otolaryngology,Expired,2020-04-18,2024-11-22,2023-10-12,9025 Lexington Ave,Queens,NY,10005,(424) 854-1496,[],False,UCSF School of Medicine,2025-09-02
060NY639728,"Li Yang, DO PhD",Li,Yang,Physician,060,Nephrology,Expired,2018-10-14,2025-08-14,2025-03-31,2617 Third Ave,Rochester,NY,10004,(424) 561-1797,[],False,University of Michigan Medical School,2025-09-02
060NY697983,"John Miller, DO PhD",John,Miller,Physician,060,Pathology,Expired,2017-11-30,2024-02-03,2022-11-28,4334 Central Park West,Rochester,NY,11202,(626) 825-2946,[],True,NYU Grossman School of Medicine,2025-09-02
060NY787436,"Charles Patel, MD",Charles,Patel,Physician,060,Internal Medicine,Expired,2018-01-24,2024-04-11,2022-04-26,1796 Second Ave,Buffalo,NY,10001,424  917.2800,[],True,NYU Grossman School of Medicine,2025-09-02
060NY794395,"Ahmed Wilson, DO PhD",Ahmed,Wilson,Physician,060,Endocrinology,Active,2022-04-12,2025-09-06,2024-04-26,7727 Central Park West,New York,NY,10003,(424) 695-4150,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02
060NY513697,"Ahmed Wilson, DO PhD",Ahmed,Wilson,Physician,060,Dermatology,Expired,2021-01-22,2024-12-07,2024-07-17,5715 York Ave,Buffalo,NY,10005,(917) 751-5442,[],False,Stanford University School of Medicine,2025-09-02
060NY160541,"Christopher Zhang, DO PhD",Christopher,Zhang,Physician,060,Anesthesiology,Expired,2020-03-17,2025-08-04,2024-10-24,8362 First Ave,New York,NY,11203,(929) 917-2044,[],True,UCSF School of Medicine,2025-09-02
060NY239449,"William Rodriguez, DO PhD",William,Rodriguez,Physician,060,Cardiology,Expired,2018-11-29,2024-12-13,2024-11-04,6267 First Ave,Yonkers,NY,11202,(310) 889-9920,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY568127,"Thomas Gonzalez, MD",Thomas,Gonzalez,Physician,060,Psychiatry,Expired,2017-09-25,2023-04-10,2022-04-24,6869 Amsterdam Ave,New York,NY,10004,(347) 439-6224,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02
060NY536548,"Joseph Clark, MD PhD",Joseph,Clark,Physician,060,Dermatology,Expired,2021-03-15,2025-04-16,2024-12-30,9122 Amsterdam Ave,Queens,NY,11202,(310) 259-7761,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY588640,"Jessica Lee, MD PhD",Jessica,Lee,Physician,060,Nephrology,Expired,2016-12-06,2023-07-21,2022-12-27,8744 Columbus Ave,Rochester,NY,10005,212  467.7841,[],True,NYU Grossman School of Medicine,2025-09-02
060NY469283,"Wei Thomas, DO PhD",Wei,Thomas,Physician,060,Dermatology,Expired,2020-02-02,2023-12-13,2022-07-14,5531 Lexington Ave,Syracuse,NY,11203,(212) 622-3252,[],True,Johns Hopkins School of Medicine,2025-09-02
060NY358421,"Jessica Harris, DO PhD",Jessica,Harris,Physician,060,Pediatrics,Expired,2019-03-23,2023-05-31,2021-10-04,9599 Columbus Ave,Yonkers,NY,10002,(212) 515-8286,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY503951,"Elizabeth Chen, DO PhD",Elizabeth,Chen,Physician,060,Anesthesiology,Expired,2017-08-22,2023-01-26,2022-12-17,1469 Third Ave,Albany,NY,10002,(646) 342-5405,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY746624,"Thomas Clark, MD PhD",Thomas,Clark,Physician,060,Pulmonology,Expired,2018-01-25,2024-02-05,2023-04-14,1261 Third Ave,Buffalo,NY,10004,(310) 542-8055,[],True,NYU Grossman School of Medicine,2025-09-02
060NY512022,"William Sanchez, MD PhD",William,Sanchez,Physician,060,Cardiology,Expired,2018-10-24,2025-01-17,2024-04-01,8045 Amsterdam Ave,BRONX,NY,11201,310  498.2133,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02
060NY825309,"Robert Ramirez, DO PhD",Robert,Ramirez,Physician,060,Ophthalmology,Expired,2021-01-23,2025-05-06,2025-03-03,9797 First Ave,Yonkers,NY,14201,(626) 827-1725,[],False,UCLA David Geffen School of Medicine,2025-09-02
060NY248557,"Thomas Anderson, DO",Thomas,Anderson,Physician,060,Anesthesiology,Expired,2018-01-12,2024-12-14,2023-08-28,6409 First Ave,Albany,NY,10003,(818) 913-8412,[],True,Harvard Medical School,2025-09-02
060NY770153,"Ana Sharma, DO",Ana,Sharma,Physician,060,Urology,Expired,2019-05-07,2024-10-03,2023-11-16,3229 First Ave,Brooklyn,NY,10005,646- 889-5873,[],True,NYU Grossman School of Medicine,2025-09-02
060NY402692,"Barbara Clark, DO PhD",Barbara,Clark,Physician,060,Orthopedic Surgery,Expired,2020-09-11,2023-12-11,2023-02-07,1355 Amsterdam Ave,New York,NY,10004,(929) 755-1681,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY608913,"Christopher Ramirez, DO",Christopher,Ramirez,Physician,060,Internal Medicine,Expired,2018-02-24,2024-12-04,2024-03-08,5290 Lexington Ave,Rochester,NY,14201,(213) 407-3161,"[{""action_type"": ""Fine"", ""action_date"": ""2024-03-01"", ""description"": ""Disciplinary action related to professional conduct""}]",False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02
060NY171734,"David Miller, MD",David,Miller,Physician,060,Otolaryngology,Active,2023-10-01,2025-12-22,2024-09-18,4903 Madison Ave,Yonkers,NY,10003,(626) 653-4559,[],True,Stanford University School of Medicine,2025-09-02
060NY916808,"Mary Rodriguez, DO",Mary,Rodriguez,Physician,060,Anesthesiology,Expired,2021-02-20,2023-02-24,2022-12-09,1381 Park Ave,Albany,NY,14202,(310) 595-2847,[],False,Stanford University School of Medicine,2025-09-02
060NY759104,"Robert Harris, DO PhD",Robert,Harris,Physician,060,Gastroenterology,Active,2022-04-12,2025-10-23,2024-04-12,2831 First Ave,Brooklyn,NY,10001,(347) 280-9377,[],True,NYU Grossman School of Medicine,2025-09-02
060NY207903,"Sarah Jones, DO PhD",Sarah,Jones,Physician,060,Psychiatry,Expired,2021-07-23,2023-08-25,2021-11-08,5901 Broadway,Syracuse,NY,14202,(646) 383-1579,[],False,NYU Grossman School of Medicine,2025-09-02
060NY520400,"Mary Moore, MD",Mary,Moore,Physician,060,Pulmonology,Expired,2017-01-29,2023-05-22,2023-03-31,1957 York Ave,New York,NY,10003,347  777.5979,[],True,NYU Grossman School of Medicine,2025-09-02
060NY110060,"Mohammed Sharma, DO",Mohammed,Sharma,Physician,060,Family Medicine,Expired,2019-08-18,2024-11-17,2023-01-10,6719 Broadway,Bronx,NY,14201,(646) 928-5584,[],True,Yale School of Medicine,2025-09-02
060NY871073,"Elizabeth Garcia, MD",Elizabeth,Garcia,Physician,060,Radiology,Expired,2018-06-18,2024-10-30,2024-03-04,6462 Fifth Ave,New York,NY,11202,(718) 368-8365,[],False,Stanford University School of Medicine,2025-09-02
060NY178629,"Wei Anderson, DO",Wei,Anderson,Physician,060,Pediatrics,Expired,2018-12-11,2023-02-14,2022-03-15,6564 Third Ave,Brooklyn,NY,14202,(646) 787-8096,[],False,Harvard Medical School,2025-09-02
060NY161437,"Patricia Wang, MD PhD",Patricia,Wang,Physician,060,Endocrinology,Expired,2023-07-27,2025-08-24,2025-06-04,2947 Broadway,Rochester,NY,14202,(818) 257-4594,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY299212,"William Jones, MD",William,Jones,Physician,060,Ophthalmology,Expired,2021-12-03,2025-04-18,2025-03-28,7910 Central Park West,New York,NY,11202,(323) 702-3516,[],False,UCLA David Geffen School of Medicine,2025-09-02
060NY221119,"Liu, Rajesh DO PhD",Rajesh,Liu,Physician,060,Oncology,Expired,2021-10-13,2024-09-23,2022-11-06,422 Park Ave,Queens,NY,10005,9293918303,[],False,UCSF School of Medicine,2025-09-02
060NY974625,"Ana Gonzalez, DO",Ana,Gonzalez,Physician,060,Radiology,Expired,2021-07-17,2024-06-12,2023-11-17,1284 Columbus Ave,Yonkers,NY,10004,(310) 212-9561,[],True,Johns Hopkins School of Medicine,2025-09-02
060NY786594,"Sarah Miller, MD",Sarah,Miller,Physician,060,Otolaryngology,Expired,2021-09-12,2025-09-21,2024-11-30,1655 Lexington Ave,Albany,NY,11201,(626) 910-7581,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY339030,"Mohammed White, MD",Mohammed,White,Physician,060,Anesthesiology,Expired,2018-09-19,2023-10-03,2021-12-18,4966 Lexington Ave,Buffalo,NY,11203,213  958.8937,[],False,Yale School of Medicine,2025-09-02
060NY160426,"Ahmed Kumar, DO PhD",Ahmed,Kumar,Physician,060,Internal Medicine,Expired,2017-07-03,2024-05-25,2024-05-22,8590 Amsterdam Ave,New York,NY,10003,(626) 326-1500,[],False,University of Michigan Medical School,2025-09-02
060NY382154,"Sarah Chen, MD PhD",Sarah,Chen,Physician,060,Endocrinology,Expired,2022-12-05,2025-04-18,2024-07-16,4238 Central Park West,Brooklyn,NY,10005,(424) 512-5511,[],False,UCSF School of Medicine,2025-09-02
060NY412974,"Charles Singh, DO PhD",Charles,Singh,Physician,060,Nephrology,Expired,2020-12-21,2023-08-10,2022-08-30,121 York Ave,Rochester,NY,14201,(323) 983-4937,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY660605,Charles Taylor DO PhD,Charles,Taylor,Physician,060,Pediatrics,Expired,2021-01-23,2025-09-01,2024-04-27,579 Amsterdam Ave,Bronx,NY,11201,818  464.3999,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY235691,"Mary Brown, MD",Mary,Brown,Physician,060,Gastroenterology,Expired,2021-11-16,2025-06-07,2024-06-08,3431 Madison Ave,Queens,NY,11203,(212) 529-9700,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY404955,"Charles Rodriguez, MD",Charles,Rodriguez,Physician,060,Endocrinology,Expired,2021-07-30,2025-07-22,2025-01-10,9645 Lexington Ave,Queens,NY,10002,(646) 613-1313,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY738584,"Thomas Yang, DO",Thomas,Yang,Physician,060,Emergency Medicine,Expired,2020-09-20,2024-02-14,2022-05-20,1719 York Ave,Brooklyn,NY,10005,(917) 904-8875,[],True,Harvard Medical School,2025-09-02
060NY956794,"David Shah, MD PhD",David,Shah,Physician,060,Pediatrics,Expired,2017-11-15,2024-04-26,2024-02-22,4558 Broadway,Albany,NY,10004,(310) 963-1291,[],False,Harvard Medical School,2025-09-02
060NY717942,"Gonzalez, Karen DO",Karen,Gonzalez,Physician,060,Dermatology,Active,2022-12-06,2025-10-29,2023-11-23,6438 Park Ave,Syracuse,NY,10004,(646) 908-3845,[],True,UCLA David Geffen School of Medicine,2025-09-02
060NY884782,"Linda Liu, DO",Linda,Liu,Physician,060,Anesthesiology,Inactive,2021-03-11,2025-11-15,2024-02-08,5618 Lexington Ave,Syracuse,NY,10003,(626) 335-3913,[],False,NYU Grossman School of Medicine,2025-09-02
060NY918859,"Michael Harris, DO PhD",Michael,Harris,Physician,060,Psychiatry,Expired,2021-07-31,2025-06-26,2024-04-10,5123 York Ave,New York,NY,10001,(626) 276-4063,[],True,Harvard Medical School,2025-09-02
060NY415783,Thomas Rodriguez DO,Thomas,Rodriguez,Physician,060,Radiology,Active,2019-05-28,2025-10-01,2025-02-26,4179 Broadway,Rochester,NY,11203,(323) 363-7814,[],False,NYU Grossman School of Medicine,2025-09-02
060NY773462,Mary Perez MD PhD,Mary,Perez,Physician,060,Internal Medicine,Expired,2018-10-18,2024-05-14,2022-09-22,8692 First Ave,Albany,NY,10001,929  726.9335,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02
060NY892682,"Jennifer Lewis, DO PhD",Jennifer,Lewis,Physician,060,Pediatrics,Expired,2020-11-18,2023-04-04,2022-08-15,277 Second Ave,Brooklyn,NY,14201,(213) 604-1504,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY345925,"David Jackson, MD",David,Jackson,Physician,060,Anesthesiology,Expired,2017-03-08,2023-07-24,2022-04-12,3235 Central Park West,Syracuse,NY,11201,8187983496,[],False,UCLA David Geffen School of Medicine,2025-09-02
060NY420310,"Joseph Anderson, DO PhD",Joseph,Anderson,Physician,060,Ophthalmology,Revoked,2020-02-18,2025-09-24,2025-08-13,5890 Madison Ave,Rochester,NY,11203,(818) 841-2252,[],True,Yale School of Medicine,2025-09-02
060NY931161,"Mohammed Jones, MD PhD",Mohammed,Jones,Physician,060,Urology,Expired,2023-09-08,2025-09-14,2025-08-28,3652 York Ave,Yonkers,NY,11201,917- 353-4062,[],False,Stanford University School of Medicine,2025-09-02
060NY966662,"Karen Kumar, MD PhD",Karen,Kumar,Physician,060,Urology,Expired,2019-10-03,2023-11-03,2022-09-04,5615 First Ave,Brooklyn,NY,10004,(718) 693-3135,[],True,Yale School of Medicine,2025-09-02
060NY977857,"Ahmed Singh, DO PhD",Ahmed,Singh,Physician,060,Gastroenterology,Expired,2021-07-05,2023-07-20,2022-04-02,7900 Second Avenue,Rochester,NY,14202,(347) 393-1089,[],True,Yale School of Medicine,2025-09-02
060NY692099,"Jennifer Wilson, MD PhD",Jennifer,Wilson,Physician,060,Urology,Expired,2019-09-20,2025-01-18,2024-09-21,1747 Madison Ave,Yonkers,NY,14202,(323) 768-8925,[],False,NYU Grossman School of Medicine,2025-09-02
060NY640869,"Michael Lopez, DO PhD",Michael,Lopez,Physician,060,Internal Medicine,Expired,2019-08-25,2024-04-19,2022-10-03,3305 Columbus Ave,Albany,NY,10005,(929) 885-7474,[],True,Harvard Medical School,2025-09-02
060NY373791,"Charles Chen, MD PhD",Charles,Chen,Physician,060,Gastroenterology,Expired,2020-01-28,2023-12-25,2023-11-22,4531 Park Ave,Bronx,NY,11203,(347) 750-5098,[],False,University of Michigan Medical School,2025-09-02
060NY976960,"Thomas Lopez, DO",Thomas,Lopez,Physician,060,Dermatology,Expired,2019-06-04,2024-12-30,2024-02-15,3272 Park Ave,Bronx,NY,10005,(929) 835-6167,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY819678,"Carlos Wang, DO",Carlos,Wang,Physician,060,Pulmonology,Expired,2019-08-06,2023-12-24,2023-09-06,6934 First Ave,ALBANY,NY,10001,(718) 533-6924,[],False,Yale School of Medicine,2025-09-02
060NY995825,"Yang, Barbara MD PhD",Barbara,Yang,Physician,060,Emergency Medicine,Expired,2019-07-10,2025-03-31,2024-11-11,8172 Second Ave,Bronx,NY,11202,(323) 642-7240,[],True,UCSF School of Medicine,2025-09-02
060NY990136,"Jennifer Yang, MD PhD",Jennifer,Yang,Physician,060,Pediatrics,Expired,2016-10-30,2023-05-27,2022-12-22,2374 Madison Ave,Rochester,NY,11202,(347) 655-6950,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY109576,"John Smith, DO",John,Smith,Physician,060,Anesthesiology,Expired,2018-08-26,2025-05-31,2025-03-16,7688 York Ave,New York,NY,11203,(213) 455-3675,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY834498,"Rajesh Thomas, MD PhD",Rajesh,Thomas,Physician,060,Neurology,Active,2021-09-20,2025-10-04,2024-11-23,8716 Lexington Avenue,Yonkers,NY,10004,(347) 328-8183,[],True,Stanford University School of Medicine,2025-09-02
060NY253184,"Christopher Perez, DO PhD",Christopher,Perez,Physician,060,Emergency Medicine,Expired,2019-01-13,2023-04-25,2021-04-27,8166 Third Ave,Syracuse,NY,10001,(718) 986-5078,"[{""action_type"": ""Probation"", ""action_date"": ""2023-10-02"", ""description"": ""Disciplinary action related to documentation""}]",False,Harvard Medical School,2025-09-02
060NY228074,"Carlos Miller, DO",Carlos,Miller,Physician,060,Nephrology,Expired,2019-06-24,2024-06-02,2024-02-21,5114 Third Ave,Queens,NY,10001,(212) 371-5523,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY896456,"Ana Patel, DO",Ana,Patel,Physician,060,Internal Medicine,Expired,2020-10-21,2023-05-03,2022-05-27,1467 Park Ave,Queens,NY,11203,(626) 974-6690,[],True,UCLA David Geffen School of Medicine,2025-09-02
060NY215830,"Mary Jones, DO PhD",Mary,Jones,Physician,060,Endocrinology,Expired,2020-11-06,2023-07-17,2022-12-12,8152 York Ave,Queens,NY,14202,(718) 232-7366,[],False,University of Michigan Medical School,2025-09-02
060NY478458,"Joseph Liu, MD",Joseph,Liu,Physician,060,Pathology,Expired,2022-11-22,2025-05-01,2024-07-22,3420 Columbus Ave,Syracuse,NY,10002,(323) 299-2658,[],True,UCLA David Geffen School of Medicine,2025-09-02
060NY797557,"Priya Thomas, DO",Priya,Thomas,Physician,060,Cardiology,Expired,2019-02-18,2025-05-24,2023-11-17,9145 Second Ave,BROOKLYN,NY,14202,310- 560-6163,[],False,UCLA David Geffen School of Medicine,2025-09-02
060NY516379,"Joseph Wang, DO",Joseph,Wang,Physician,060,Internal Medicine,Expired,2020-07-22,2023-01-01,2021-06-18,9016 Central Park West,Buffalo,NY,11201,(917) 522-1355,[],False,Yale School of Medicine,2025-09-02
060NY931420,"Elizabeth Thompson, DO",Elizabeth,Thompson,Physician,060,Orthopedic Surgery,Active,2018-10-30,2025-09-15,2024-11-15,6015 Amsterdam Ave,Bronx,NY,10004,(212) 989-6478,[],False,Stanford University School of Medicine,2025-09-02
060NY831663,"Fatima Smith, DO PhD",Fatima,Smith,Physician,060,Dermatology,Expired,2018-07-21,2024-03-28,2023-02-09,8592 Broadway,Rochester,NY,14201,(347) 603-3425,[],False,UCSF School of Medicine,2025-09-02
060NY305625,"Thomas Garcia, DO PhD",Thomas,Garcia,Physician,060,Psychiatry,Active,2023-09-18,2025-12-09,2024-10-05,2137 Madison Ave,Syracuse,NY,14201,(213) 574-6706,[],False,University of Michigan Medical School,2025-09-02
060NY747983,"Johnson, Priya DO PhD",Priya,Johnson,Physician,060,Internal Medicine,Expired,2021-01-05,2024-07-09,2024-02-20,8632 Broadway,Buffalo,NY,10003,(626) 595-4787,[],True,UCSF School of Medicine,2025-09-02
060NY347678,Susan Robinson MD,Susan,Robinson,Physician,060,Emergency Medicine,Active,2023-10-16,2025-10-23,2024-06-22,8674 Lexington Avenue,Rochester,NY,11203,(213) 872-3248,[],False,University of Michigan Medical School,2025-09-02
060NY343461,"Martinez, Thomas DO",Thomas,Martinez,Physician,060,Family Medicine,Expired,2020-01-08,2024-04-17,2023-07-22,3027 Broadway,Buffalo,NY,14202,(213) 703-8763,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY747033,Fatima Moore DO PhD,Fatima,Moore,Physician,060,Radiology,Active,2019-04-19,2025-09-30,2024-10-23,3324 Park Ave,Brooklyn,NY,10003,(424) 960-9784,[],True,Stanford University School of Medicine,2025-09-02
060NY311741,Mohammed Sharma DO,Mohammed,Sharma,Physician,060,Gastroenterology,Expired,2019-08-16,2025-07-20,2023-10-14,5300 First Ave,New York,NY,10003,(323) 924-7292,[],True,Yale School of Medicine,2025-09-02
060NY567935,"Fatima Perez, DO",Fatima,Perez,Physician,060,Orthopedic Surgery,Expired,2019-12-26,2024-08-14,2022-08-20,2370 Madison Ave,New York,NY,11202,(310) 756-1094,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02
060NY978721,Elizabeth Garcia MD,Elizabeth,Garcia,Physician,060,Radiology,Expired,2021-05-04,2024-09-03,2024-08-29,8968 Lexington Ave,ALBANY,NY,10004,(424) 775-3906,[],False,Stanford University School of Medicine,2025-09-02
060NY534773,"Sarah Shah, DO PhD",Sarah,Shah,Physician,060,Internal Medicine,Expired,2018-06-01,2025-04-27,2024-10-17,2948 Amsterdam Ave,Bronx,NY,10005,347  507.9301,[],False,Stanford University School of Medicine,2025-09-02
060NY724103,"Robert Moore, MD",Robert,Moore,Physician,060,Anesthesiology,Expired,2020-04-28,2023-08-28,2023-01-24,6148 Columbus Ave,Albany,NY,10003,(347) 421-9603,[],True,NYU Grossman School of Medicine,2025-09-02
060NY434652,"Carlos Martin, MD",Carlos,Martin,Physician,060,Cardiology,Expired,2021-04-19,2025-06-22,2023-12-30,5115 Columbus Ave,Bronx,NY,11201,(718) 411-9888,[],False,Johns Hopkins School of Medicine,2025-09-02
060NY481104,"Elizabeth Miller, DO PhD",Elizabeth,Miller,Physician,060,Orthopedic Surgery,Expired,2022-06-09,2025-03-13,2023-07-18,7626 First Ave,Bronx,NY,10004,(310) 672-3798,[],False,University of Michigan Medical School,2025-09-02
060NY751034,"Jennifer Miller, MD PhD",Jennifer,Miller,Physician,060,Ophthalmology,Expired,2019-02-16,2024-05-14,2023-09-02,1163 Lexington Ave,Albany,NY,11203,(424) 550-9921,[],True,Stanford University School of Medicine,2025-09-02
060NY725376,"Karen Robinson, MD PhD",Karen,Robinson,Physician,060,Radiology,Expired,2018-02-21,2025-02-15,2023-12-13,7295 Madison Ave,Buffalo,NY,11202,310  744.5775,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02
