license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated
A41266,"Thompson, Michael DO",Michael,Thompson,,DO,Physician and Surgeon,Nephrology,,Expired,2021-08-06,2023-09-16,2023-07-17,660 Main St,San Jose,CA,90004,Alameda,(818) 935-2876,michael.thompson@email.com,University of Michigan Medical School,2010,Massachusetts General Hospital,,"English, Mandarin",True,None,No,Cedars-Sinai Medical Center,2025-07-26
A99687,Dr. Priya Harris,Priya,Harris,,DO PhD,Physician and Surgeon,Otolaryngology,,Expired,2022-05-28,2023-09-05,2023-05-01,3250 Wilshire Blvd,San Jose,CA,90002,Riverside,213  701.2729,,Johns Hopkins School of Medicine,1989,UCSF Medical Center,,"English, Spanish, Portuguese",True,None,Unknown,Kaiser Permanente,2025-03-15
A50135,"Linda Shah, DO",Linda,Shah,,DO,Physician and Surgeon,Nephrology,,Expired,2022-06-13,2025-01-25,2024-03-19,8042 Santa Monica Blvd,Los Angeles,CA,90002,Sacramento,(347) 457-4777,,Stanford University School of Medicine,2000,Mayo Clinic,Nephrology,"English, Mandarin",True,None,Unknown,UCLA Medical Center,2025-08-27
A57301,"Patel, Maria MD PhD",Maria,Patel,,MD PhD,Physician and Surgeon,Anesthesiology,,Expired,2020-02-13,2024-01-03,2023-10-08,8596 Pico Blvd,Fresno,CA,90002,San Diego,(626) 970-9042,maria.patel@email.com,Columbia University Vagelos College of Physicians and Surgeons,1984,Mount Sinai Hospital,Anesthesiology,"English, Spanish",True,None,Unknown,,2025-06-28
A87832,"Wang, Charles MD",Charles,Wang,,MD,Physician and Surgeon,Anesthesiology,,Expired,2023-04-27,2025-08-20,2024-10-10,1626 Hollywood Blvd,San Jose,CA,90005,Fresno,(626) 402-7965,charles.wang@email.com,Columbia University Vagelos College of Physicians and Surgeons,2007,Mayo Clinic,Anesthesiology,"English, Spanish, Portuguese",True,None,Yes,Stanford Hospital,2025-08-28
A67424,"Christopher Singh, MD PhD",Christopher,Singh,,MD PhD,Physician and Surgeon,Cardiology,,Active,2021-09-15,2025-09-19,2025-04-24,8168 Santa Monica Blvd,LOS ANGELES,CA,90004,Contra Costa,718  430.2858,christopher.singh@email.com,UCSF School of Medicine,2011,NewYork-Presbyterian Hospital,Cardiology,"English, Spanish, Portuguese",False,None,Yes,UCLA Medical Center,2025-08-03
A27892,"Thomas Clark, DO PhD",Thomas,Clark,,DO PhD,Physician and Surgeon,Emergency Medicine,,Expired,2020-05-24,2023-05-23,2023-01-24,3994 Santa Monica Blvd,San Francisco,CA,92001,Fresno,(626) 701-3434,,NYU Grossman School of Medicine,1994,UCSF Medical Center,,"English, Mandarin",False,None,Unknown,UCLA Medical Center,2025-08-18
A73956,"Mary Yang, DO PhD",Mary,Yang,,DO PhD,Physician and Surgeon,Urology,,Expired,2020-09-30,2023-03-15,2022-10-03,5384 Ventura Blvd,Oakland,CA,91001,Sacramento,(646) 910-5906,,Harvard Medical School,1999,NewYork-Presbyterian Hospital,Urology,"English, Spanish",False,None,No,Kaiser Permanente,2025-05-22
A48780,"Taylor, Ahmed DO PhD",Ahmed,Taylor,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2022-10-09,2024-08-27,2023-10-30,3264 Rodeo Dr,Santa Ana,CA,90002,San Bernardino,(424) 560-4588,,Columbia University Vagelos College of Physicians and Surgeons,1977,Mayo Clinic,Family Medicine,"English, Spanish, Portuguese",True,None,No,Kaiser Permanente,2025-03-15
A64460,"Mohammed Williams, MD PhD",Mohammed,Williams,,MD PhD,Physician and Surgeon,Neurology,Internal Medicine,Expired,2020-04-23,2023-12-26,2023-02-28,547 Pico Blvd,Sacramento,CA,90003,Santa Clara,(347) 964-6549,mohammed.williams@email.com,Johns Hopkins School of Medicine,2016,Cleveland Clinic,,"English, Mandarin",True,None,No,Cedars-Sinai Medical Center,2025-06-04
A82641,"Thomas Gonzalez, MD",Thomas,Gonzalez,,MD,Physician and Surgeon,Otolaryngology,,Expired,2020-05-23,2024-02-29,2023-12-01,7451 Wilshire Blvd,San Jose,CA,95001,Sacramento,(323) 456-3858,thomas.gonzalez@email.com,Harvard Medical School,2008,UCLA Medical Center,Otolaryngology,"English, Spanish",False,None,No,Cedars-Sinai Medical Center,2025-05-08
A81874,"Fatima Lewis, MD",Fatima,Lewis,,MD,Physician and Surgeon,Oncology,,Expired,2020-02-18,2024-10-27,2024-05-31,5278 Pico Blvd,San Francisco,CA,90002,Los Angeles,(626) 866-4522,,UCLA David Geffen School of Medicine,2003,UCLA Medical Center,,"English, Mandarin",False,None,Yes,,2025-06-27
A45054,"James Moore, DO",James,Moore,C,DO,Physician and Surgeon,Orthopedic Surgery,,Expired,2019-10-04,2023-03-01,2022-12-14,9191 Pico Blvd,Los Angeles,CA,95001,San Diego,(718) 345-1502,james.moore@email.com,UCLA David Geffen School of Medicine,1995,Mount Sinai Hospital,Orthopedic Surgery,"English, Mandarin",True,None,Yes,UCSF Medical Center,2025-04-07
A98338,"Patricia Martin, MD PhD",Patricia,Martin,,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2018-12-05,2023-06-17,2023-04-14,9300 Pico Blvd,SAN DIEGO,CA,90001,Los Angeles,(718) 553-8043,patricia.martin@email.com,UCSF School of Medicine,1979,NewYork-Presbyterian Hospital,,"English, Spanish",False,None,Unknown,,2025-04-27
A20308,"Yang, William DO PhD",William,Yang,B,DO PhD,Physician and Surgeon,Anesthesiology,,Expired,2021-10-11,2025-03-21,2025-01-03,5929 Wilshire Blvd,Oakland,CA,90002,Contra Costa,917- 994-6724,william.yang@email.com,Stanford University School of Medicine,2001,Mayo Clinic,Anesthesiology,English,False,None,Yes,Cedars-Sinai Medical Center,2025-06-18
A68838,"Liu, William DO",William,Liu,,DO,Physician and Surgeon,Anesthesiology,,Expired,2020-07-10,2024-10-23,2024-06-18,1235 Sunset Blvd,Santa Ana,CA,93001,Santa Clara,(929) 719-2215,,Harvard Medical School,1988,Massachusetts General Hospital,,"English, Spanish",True,None,Yes,UCLA Medical Center,2025-07-10
A35430,"Linda White, DO",Linda,White,,DO,Physician and Surgeon,Otolaryngology,,Expired,2021-10-12,2025-01-23,2024-09-18,4669 Santa Monica Blvd,San Jose,CA,940**,Los Angeles,(424) 341-5096,,Yale School of Medicine,1995,Johns Hopkins Hospital,,English,False,None,Unknown,Cedars-Sinai Medical Center,2025-07-22
A14847,"Jessica Perez, DO",Jessica,Perez,,DO,Physician and Surgeon,Neurology,,Expired,2022-01-31,2024-08-23,2024-04-11,7613 Santa Monica Blvd,San Francisco,CA,90003,San Diego,(347) 237-4131,,NYU Grossman School of Medicine,2014,NewYork-Presbyterian Hospital,,"English, Mandarin",True,None,Unknown,UCSF Medical Center,2025-06-24
A78062,"LINDA SANCHEZ, DO PHD",Linda,Sanchez,,DO PhD,Physician and Surgeon,Pediatrics,,Expired,2021-03-30,2024-06-30,2023-10-27,6335 Beverly Dr,San Francisco,CA,93001,San Diego,(718) 535-5843,,UCLA David Geffen School of Medicine,1981,Mayo Clinic,,"English, Mandarin",True,None,Unknown,Cedars-Sinai Medical Center,2025-05-23
A17518,"Patricia Lewis, MD",Patricia,Lewis,B,MD,Physician and Surgeon,Oncology,Emergency Medicine,Expired,2019-05-02,2023-06-03,2022-11-04,5777 Pico Blvd,Oakland,CA,90005,Contra Costa,(718) 441-7001,,Harvard Medical School,1984,Mayo Clinic,,"English, Spanish",False,None,No,,2025-05-29
A24869,"Patricia White, DO PhD",Patricia,White,,DO PhD,Physician and Surgeon,Orthopedic Surgery,,Expired,2019-02-01,2023-02-23,2022-04-13,9404 Sunset Blvd,Sacramento,CA,92001,Riverside,(424) 492-9047,,Stanford University School of Medicine,2008,Mount Sinai Hospital,Orthopedic Surgery,"English, Spanish, Portuguese",False,None,Unknown,Stanford Hospital,2025-04-10
A93584,"Elizabeth Garcia, MD PhD",Elizabeth,Garcia,,MD PhD,Physician and Surgeon,Pathology,,Expired,2022-06-22,2023-12-23,2023-07-16,1064 Ventura Blvd,Fresno,CA,90005,Los Angeles,(323) 786-7044,elizabeth.garcia@email.com,Stanford University School of Medicine,1977,Johns Hopkins Hospital,Pathology,"English, Spanish",True,None,Unknown,Stanford Hospital,2025-06-02
A99143,"AHMED PATEL, DO PHD",Ahmed,Patel,,DO PhD,Physician and Surgeon,Pathology,Pediatrics,Active,2021-01-03,2025-11-25,2025-04-23,9420 Wilshire Blvd,San Francisco,CA,91001,Los Angeles,(323) 356-5982,ahmed.patel@email.com,University of Pennsylvania Perelman School of Medicine,1996,UCLA Medical Center,Pathology,"English, Spanish, Portuguese",True,None,Yes,Stanford Hospital,2025-03-21
A28830,Dr. Charles Robinson,Charles,Robinson,,MD,Physician and Surgeon,Pediatrics,Nephrology,Expired,2021-12-01,2024-10-02,2024-09-29,2590 Santa Monica Blvd,Oakland,CA,93001,Los Angeles,310  325.5382,charles.robinson@email.com,Stanford University School of Medicine,2007,Massachusetts General Hospital,Pediatrics,"English, Mandarin",True,None,Unknown,UCSF Medical Center,2025-07-19
A72094,"CARLOS MARTINEZ, DO",Carlos,Martinez,,DO,Physician and Surgeon,Pulmonology,,Active,2022-10-23,2025-11-29,2025-02-17,6577 Ventura Blvd,Los Angeles,CA,90001,Fresno,(424) 957-5902,carlos.martinez@email.com,Yale School of Medicine,1985,Mount Sinai Hospital,,"English, Spanish, Portuguese",True,None,No,UCSF Medical Center,2025-07-23
A72350,Dr. Priya Singh,Priya,Singh,,DO,Physician and Surgeon,Neurology,,Expired,2022-11-30,2025-09-04,2025-01-21,861 Wilshire Blvd,Oakland,CA,91001,Santa Clara,(646) 627-3880,priya.singh@email.com,Johns Hopkins School of Medicine,1989,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,None,Yes,UCLA Medical Center,2025-04-26
A27589,"Charles Wang, MD",Charles,Wang,,MD,Physician and Surgeon,Pulmonology,,Active,2024-08-31,2025-10-29,2025-04-23,5490 Melrose Ave,Santa Ana,CA,94001,San Bernardino,8185455833,,University of Michigan Medical School,2006,UCSF Medical Center,Pulmonology,"English, Spanish",True,None,No,,2025-06-20
A49576,"MARY GARCIA, DO PHD",Mary,Garcia,,DO PhD,Physician and Surgeon,Emergency Medicine,,Expired,2018-07-09,2023-01-24,2022-09-29,3028 Sunset Blvd,Santa Ana,CA,91001,Los Angeles,(818) 988-6095,mary.garcia@email.com,NYU Grossman School of Medicine,1999,Cleveland Clinic,Emergency Medicine,"English, Spanish",True,None,Yes,UCSF Medical Center,2025-07-18
A97044,"Barbara Martinez, DO PhD",Barbara,Martinez,,DO PhD,Physician and Surgeon,Psychiatry,,Expired,2020-09-10,2024-03-23,2023-04-03,9925 Beverly Dr,Oakland,CA,94001,Sacramento,(212) 760-9281,barbara.martinez@email.com,NYU Grossman School of Medicine,2009,Mount Sinai Hospital,Psychiatry,"English, Mandarin",True,None,Yes,Cedars-Sinai Medical Center,2025-07-19
A15183,"Rajesh Garcia, DO PhD",Rajesh,Garcia,D,DO PhD,Physician and Surgeon,Emergency Medicine,,Expired,2021-11-07,2023-05-30,2023-01-22,1515 Ventura Blvd,San Jose,CA,90001,Contra Costa,(917) 959-2922,,University of Michigan Medical School,2002,Cleveland Clinic,,English,True,None,Unknown,Cedars-Sinai Medical Center,2025-08-06
A12192,"Elizabeth White, MD",Elizabeth,White,,MD,Physician and Surgeon,Emergency Medicine,,Active,2022-01-28,2025-12-20,2025-04-11,7917 Santa Monica Blvd,Los Angeles,CA,90001,Contra Costa,(646) 446-4144,elizabeth.white@email.com,Columbia University Vagelos College of Physicians and Surgeons,1998,UCSF Medical Center,,"English, Spanish",False,None,Yes,UCSF Medical Center,2025-05-11
A72390,"JENNIFER ROBINSON, DO",Jennifer,Robinson,,DO,Physician and Surgeon,Family Medicine,,Expired,2020-11-03,2023-04-25,2022-09-20,3701 Melrose Ave,San Diego,CA,90001,San Diego,(917) 416-8790,jennifer.robinson@email.com,Columbia University Vagelos College of Physicians and Surgeons,2016,Massachusetts General Hospital,Family Medicine,"English, Spanish",True,None,No,UCLA Medical Center,2025-05-03
A61007,"John Wilson, DO",John,Wilson,,DO,Physician and Surgeon,Oncology,,Expired,2021-06-14,2024-11-10,2024-04-27,6526 Wilshire Blvd,Fresno,CA,90003,Contra Costa,929  819.7499,john.wilson@email.com,UCSF School of Medicine,1999,Mount Sinai Hospital,Oncology,"English, Mandarin",True,None,No,Kaiser Permanente,2025-07-20
A70562,"Rajesh Miller, DO",Rajesh,Miller,,DO,Physician and Surgeon,Oncology,,Expired,2022-08-11,2024-04-19,2023-12-22,3997 Ventura Blvd,San Francisco,CA,94001,Contra Costa,(213) 598-1072,rajesh.miller@email.com,Columbia University Vagelos College of Physicians and Surgeons,2005,Johns Hopkins Hospital,Oncology,"English, Mandarin",False,None,Unknown,Stanford Hospital,2025-06-29
A73788,"James Lopez, MD PhD",James,Lopez,C,MD PhD,Physician and Surgeon,Ophthalmology,,Expired,2020-11-29,2023-12-21,2023-10-08,8370 Rodeo Dr,Oakland,CA,95001,Riverside,(929) 209-8939,,Yale School of Medicine,1996,Mount Sinai Hospital,Ophthalmology,English,True,None,Yes,,2025-05-11
A89988,"Wei Thomas, MD PhD",Wei,Thomas,,MD PhD,Physician and Surgeon,Orthopedic Surgery,,Expired,2021-05-22,2025-05-26,2024-09-17,529 Santa Monica Blvd,Fresno,CA,910**,Fresno,(424) 751-3758,,University of Michigan Medical School,2002,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,None,No,UCLA Medical Center,2025-07-02
A85684,"Wei Miller, DO",Wei,Miller,,DO,Physician and Surgeon,Gastroenterology,,Expired,2019-11-22,2024-07-04,2023-10-28,6744 Main St,Fresno,CA,90003,Orange,310- 535-1040,wei.miller@email.com,NYU Grossman School of Medicine,1987,Johns Hopkins Hospital,Gastroenterology,"English, Spanish, Portuguese",True,None,No,UCSF Medical Center,2025-08-30
A66260,"Thomas Garcia, MD PhD",Thomas,Garcia,,MD PhD,Physician and Surgeon,Cardiology,Oncology,Expired,2022-03-04,2023-07-06,2023-03-02,2712 Main St,Oakland,CA,90005,Los Angeles,(212) 208-6629,thomas.garcia@email.com,UCSF School of Medicine,2011,Johns Hopkins Hospital,,English,False,None,Yes,UCSF Medical Center,2025-04-16
A27984,"Carlos Jones, MD PhD",Carlos,Jones,A,MD PhD,Physician and Surgeon,Orthopedic Surgery,,Expired,2021-04-03,2023-01-24,2022-09-29,3910 Main St,SAN JOSE,CA,90002,San Bernardino,(818) 320-1480,carlos.jones@email.com,Yale School of Medicine,2003,Johns Hopkins Hospital,,English,False,None,Unknown,UCSF Medical Center,2025-04-24
A29441,"Charles Robinson, MD PhD",Charles,Robinson,,MD PhD,Physician and Surgeon,Psychiatry,Emergency Medicine,Expired,2020-02-17,2023-07-06,2023-02-26,1482 Sunset Blvd,Fresno,CA,95001,Santa Clara,(310) 769-5093,charles.robinson@email.com,Johns Hopkins School of Medicine,2011,Johns Hopkins Hospital,,English,True,None,No,,2025-08-17
A94840,"William Thompson, DO",William,Thompson,D,DO,Physician and Surgeon,Endocrinology,,Expired,2020-03-08,2024-08-27,2023-09-11,4506 Melrose Avenue,Santa Ana,CA,90003,Santa Clara,(917) 858-9614,william.thompson@email.com,NYU Grossman School of Medicine,1992,Mount Sinai Hospital,Endocrinology,English,True,None,Unknown,Kaiser Permanente,2025-03-17
A74517,"Mary Thompson, MD",Mary,Thompson,,MD,Physician and Surgeon,Orthopedic Surgery,,Expired,2020-09-17,2024-09-24,2023-12-09,5762 Pico Blvd,San Francisco,CA,95001,Fresno,(310) 200-6435,mary.thompson@email.com,NYU Grossman School of Medicine,2008,Mayo Clinic,Orthopedic Surgery,"English, Spanish",True,None,No,Stanford Hospital,2025-04-07
A86810,"John Martinez, DO",John,Martinez,C,DO,Physician and Surgeon,Radiology,,Expired,2019-11-18,2023-07-26,2023-03-19,8623 Beverly Dr,San Diego,CA,91001,Alameda,818  828.6846,john.martinez@email.com,Columbia University Vagelos College of Physicians and Surgeons,1996,NewYork-Presbyterian Hospital,Radiology,"English, Spanish, Portuguese",False,None,Yes,UCLA Medical Center,2025-04-13
A90134,"Maria Smith, DO PhD",Maria,Smith,,DO PhD,Physician and Surgeon,Otolaryngology,,Expired,2019-12-02,2024-03-28,2023-11-28,9298 Main St,San Francisco,CA,95001,Fresno,(626) 290-6500,,University of Pennsylvania Perelman School of Medicine,2003,Cleveland Clinic,Otolaryngology,English,False,None,Yes,Kaiser Permanente,2025-07-11
A74629,"Patricia Taylor, MD",Patricia,Taylor,,MD,Physician and Surgeon,Pathology,,Expired,2021-03-24,2025-02-14,2024-02-16,789 Rodeo Dr,Santa Ana,CA,92001,Fresno,(212) 501-1328,patricia.taylor@email.com,Stanford University School of Medicine,2013,UCLA Medical Center,,"English, Spanish",True,None,Yes,Cedars-Sinai Medical Center,2025-07-17
A39820,"Brown, Sarah DO",Sarah,Brown,D,DO,Physician and Surgeon,Oncology,,Expired,2022-04-02,2023-05-05,2022-09-25,1585 Wilshire Blvd,Sacramento,CA,94001,Alameda,(213) 931-1568,sarah.brown@email.com,UCSF School of Medicine,2013,Mayo Clinic,Oncology,"English, Spanish, Portuguese",False,None,Unknown,Cedars-Sinai Medical Center,2025-06-19
A75598,"LI MARTIN, DO PHD",Li,Martin,A,DO PhD,Physician and Surgeon,Oncology,,Expired,2022-02-25,2023-09-03,2023-04-08,5429 Beverly Dr,Fresno,CA,95001,Santa Clara,(424) 668-3346,,UCSF School of Medicine,2015,UCLA Medical Center,Oncology,English,False,None,Unknown,,2025-07-29
A16286,Dr. William Davis,William,Davis,,MD PhD,Physician and Surgeon,Family Medicine,,Expired,2020-04-26,2023-08-10,2022-08-29,613 Rodeo Dr,Fresno,CA,94001,San Diego,8183564366,william.davis@email.com,UCLA David Geffen School of Medicine,2000,Johns Hopkins Hospital,Family Medicine,English,False,None,No,UCLA Medical Center,2025-09-02
A48800,"Priya Shah, DO",Priya,Shah,,DO,Physician and Surgeon,Pulmonology,,Expired,2021-12-01,2024-06-24,2023-08-28,8384 Wilshire Blvd,San Diego,CA,900**,Alameda,(718) 976-1751,priya.shah@email.com,NYU Grossman School of Medicine,2010,UCLA Medical Center,Pulmonology,"English, Mandarin",True,None,Yes,Stanford Hospital,2025-05-15
A60556,"Thomas Garcia, MD PhD",Thomas,Garcia,,MD PhD,Physician and Surgeon,Gastroenterology,,Active,2020-12-08,2025-09-06,2025-07-31,2997 Wilshire Blvd,Oakland,CA,92001,Los Angeles,(424) 894-8178,,University of Michigan Medical School,1995,Massachusetts General Hospital,,"English, Mandarin",False,None,Unknown,Cedars-Sinai Medical Center,2025-03-06
A98857,"Mohammed Rodriguez, DO PhD",Mohammed,Rodriguez,,DO PhD,Physician and Surgeon,Otolaryngology,Pulmonology,Inactive,2023-09-07,2025-12-10,2025-03-08,1851 Rodeo Dr,Santa Ana,CA,90001,Santa Clara,3105547305,mohammed.rodriguez@email.com,Johns Hopkins School of Medicine,2016,Mount Sinai Hospital,Otolaryngology,"English, Mandarin",False,None,Unknown,Cedars-Sinai Medical Center,2025-05-31
A53512,"Karen Martin, DO",Karen,Martin,,DO,Physician and Surgeon,Pathology,,Expired,2023-07-25,2025-08-26,2025-03-29,7475 Beverly Dr,Sacramento,CA,90001,Contra Costa,(323) 582-2741,karen.martin@email.com,Johns Hopkins School of Medicine,1985,UCSF Medical Center,Pathology,"English, Spanish, Portuguese",True,None,No,Cedars-Sinai Medical Center,2025-04-20
A99573,"PRIYA CLARK, MD PHD",Priya,Clark,,MD PhD,Physician and Surgeon,Dermatology,,Expired,2020-04-12,2024-05-28,2023-08-13,6921 Main Street,San Diego,CA,90001,San Diego,(626) 957-4675,priya.clark@email.com,Yale School of Medicine,2002,NewYork-Presbyterian Hospital,,English,False,None,Unknown,Stanford Hospital,2025-07-18
A99837,"David Miller, DO",David,Miller,,DO,Physician and Surgeon,Cardiology,,Expired,2023-12-12,2025-05-18,2025-05-07,8815 Ventura Blvd,Los Angeles,CA,90002,Fresno,(718) 275-1889,david.miller@email.com,Stanford University School of Medicine,1985,Cleveland Clinic,,English,True,None,Unknown,UCSF Medical Center,2025-05-09
A80405,"Charles Martinez, MD PhD",Charles,Martinez,,MD PhD,Physician and Surgeon,Anesthesiology,,Expired,2018-12-10,2023-06-24,2023-03-21,6114 Main St,San Francisco,CA,90002,Alameda,(424) 458-4183,charles.martinez@email.com,Harvard Medical School,1984,Mount Sinai Hospital,Anesthesiology,English,False,None,Yes,Stanford Hospital,2025-06-02
A87280,"Jennifer Zhang, DO",Jennifer,Zhang,,DO,Physician and Surgeon,Dermatology,Nephrology,Expired,2021-11-14,2024-08-18,2023-12-29,9038 Melrose Ave,Santa Ana,CA,90003,San Bernardino,(424) 900-3717,,Johns Hopkins School of Medicine,1991,Mayo Clinic,Dermatology,"English, Spanish, Portuguese",False,None,Yes,Cedars-Sinai Medical Center,2025-08-09
A97632,"Priya Martinez, DO PhD",Priya,Martinez,,DO PhD,Physician and Surgeon,Endocrinology,,Expired,2019-07-19,2024-02-28,2023-04-23,663 Hollywood Blvd,Santa Ana,CA,90004,Fresno,(626) 480-5314,priya.martinez@email.com,UCLA David Geffen School of Medicine,1995,UCLA Medical Center,Endocrinology,"English, Spanish, Portuguese",False,None,Yes,Kaiser Permanente,2025-05-03
A29249,"Maria Davis, DO PhD",Maria,Davis,,DO PhD,Physician and Surgeon,Orthopedic Surgery,,Expired,2019-01-08,2023-04-25,2022-12-11,7849 Hollywood Blvd,San Francisco,CA,92001,Santa Clara,(917) 659-8723,maria.davis@email.com,UCLA David Geffen School of Medicine,2005,Mayo Clinic,Orthopedic Surgery,English,False,None,No,Stanford Hospital,2025-08-22
A82165,"James Anderson, DO PhD",James,Anderson,D,DO PhD,Physician and Surgeon,Orthopedic Surgery,Pathology,Expired,2019-06-17,2023-04-17,2022-08-06,2651 Wilshire Blvd,San Jose,CA,94001,Los Angeles,(347) 427-7075,,UCLA David Geffen School of Medicine,1996,NewYork-Presbyterian Hospital,Orthopedic Surgery,English,True,None,Yes,,2025-06-07
A38885,"Carlos Robinson, DO PhD",Carlos,Robinson,,DO PhD,Physician and Surgeon,Radiology,,Expired,2022-12-29,2024-04-15,2024-02-06,449 Santa Monica Blvd,San Diego,CA,90005,San Bernardino,(213) 889-6603,,NYU Grossman School of Medicine,1987,UCLA Medical Center,Radiology,"English, Spanish",True,None,Unknown,UCSF Medical Center,2025-06-23
A44048,"Rodriguez, Barbara MD PhD",Barbara,Rodriguez,,MD PhD,Physician and Surgeon,Pathology,,Expired,2021-04-21,2025-01-09,2024-04-20,4916 Melrose Ave,Los Angeles,CA,92001,Orange,(917) 790-9821,barbara.rodriguez@email.com,NYU Grossman School of Medicine,1996,Mount Sinai Hospital,,"English, Spanish, Portuguese",True,None,No,Cedars-Sinai Medical Center,2025-05-26
A72021,"Maria Thomas, MD PhD",Maria,Thomas,,MD PhD,Physician and Surgeon,Family Medicine,,Expired,2019-04-07,2023-04-21,2022-10-12,1312 Hollywood Blvd,San Francisco,CA,92001,Los Angeles,(347) 434-5053,maria.thomas@email.com,Johns Hopkins School of Medicine,1992,Mayo Clinic,,"English, Mandarin",True,None,Unknown,UCSF Medical Center,2025-09-02
