npi,entity_type_code,replacement_npi,employer_identification_number,provider_organization_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential_text,provider_other_organization_name,provider_other_organization_name_type_code,provider_other_last_name,provider_other_first_name,provider_other_middle_name,provider_other_name_prefix,provider_other_name_suffix,provider_other_credential_text,provider_other_last_name_type_code,provider_business_mailing_address_line1,provider_business_mailing_address_line2,provider_business_mailing_address_city,provider_business_mailing_address_state,provider_business_mailing_address_zip,provider_business_mailing_address_country_code,provider_business_mailing_address_phone,provider_business_mailing_address_fax,provider_business_practice_location_address_line1,provider_business_practice_location_address_line2,provider_business_practice_location_address_city,provider_business_practice_location_address_state,provider_business_practice_location_address_zip,provider_business_practice_location_address_country_code,provider_business_practice_location_address_phone,provider_business_practice_location_address_fax,provider_enumeration_date,last_update_date,npi_deactivation_reason_code,npi_deactivation_date,npi_reactivation_date,provider_gender_code,authorized_official_last_name,authorized_official_first_name,authorized_official_middle_name,authorized_official_title,authorized_official_phone,healthcare_provider_taxonomy_code_1,provider_license_number_1,provider_license_number_state_code_1,healthcare_provider_primary_taxonomy_switch_1,healthcare_provider_taxonomy_code_2,provider_license_number_2,provider_license_number_state_code_2,healthcare_provider_primary_taxonomy_switch_2,other_provider_identifier_1,other_provider_identifier_type_code_1,other_provider_identifier_state_1,other_provider_identifier_issuer_1,other_provider_identifier_2,other_provider_identifier_type_code_2,other_provider_identifier_state_2,other_provider_identifier_issuer_2,is_sole_proprietor,is_organization_subpart,parent_organization_lbn,parent_organization_tin,npi_certification_date
9353487408,1,,42-6305179,,Smith,Susan,,,,MD PhD,,,,,,,,,,1698 Sunset Blvd,,Fresno,CA,90002,US,(718) 849-7939,(718) 870-7387,1698 Sunset Blvd,,Fresno,CA,90002,US,(718) 849-7939,(718) 870-7387,07/12/2019,02/20/2025,,,,F,,,,,,207L00000X,A30374,CA,Y,207T00000X,,,N,"{""identifier"": ""A30374"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,,N,,,07/12/2019
0450533156,1,,,,Lewis,William,,,,DO PhD,,,,,,,,,,1833 Fifth Ave,Suite 478,Queens,NY,14201,US,(323) 616-3532,,1833 Fifth Ave,Suite 478,Queens,NY,14201,US,(323) 616-3532,,05/02/2024,12/23/2024,,,,F,,,,,,207N00000X,060NY255287,NY,Y,,,,,"{""identifier"": ""060NY255287"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,"{""identifier"": ""BA8951745"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,N,N,,,05/02/2024
3654145864,1,,,,Perez,Fatima,,,,DO PhD,,,,,,,,,,4066 Melrose Ave,,San Francisco,CA,90002,US,626- 749-6425,(646) 419-5421,4066 Melrose Ave,,San Francisco,CA,90002,US,626- 749-6425,(646) 419-5421,02/11/2024,05/31/2025,,,,,,,,,,207Q00000X,A39831,CA,Y,,,,,"{""identifier"": ""A39831"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BM1258314"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,N,N,,,02/11/2024
6159514846,1,,,,Ramirez,Karen,,,,MD PhD,,,,,,,,,,5140 Rodeo Dr,,San Diego,CA,92001,US,(626) 618-6344,,5140 Rodeo Dr,,San Diego,CA,92001,US,(626) 618-6344,,05/10/2016,01/17/2025,,,,M,,,,,,207ZP0000X,A80575,CA,Y,,,,,"{""identifier"": ""A80575"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BB7305341"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,N,N,,,05/10/2016
7738721480,1,,,,Lopez,Jennifer,,,,MD PhD,,,,,,,,,,7 Lexington Ave,,Buffalo,NY,10004,US,(626) 848-6491,(929) 908-6883,7 Lexington Ave,,Buffalo,NY,10004,US,(626) 848-6491,(929) 908-6883,04/14/2018,01/07/2025,,,,M,,,,,,207RP1001X,060NY786508,NY,Y,,,,,"{""identifier"": ""060NY786508"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,"{""identifier"": ""BA3247082"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,N,N,,,04/14/2018
0163287082,1,,,,Thomas,Michael,,,,DO PhD,,,,,,,,,,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,US,(917) 324-8478,,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,US,(917) 324-8478,,07/27/2019,11/09/2024,,,,,,,,,,207U00000X,A62383,CA,Y,,,,,"{""identifier"": ""BM7788118"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,,,,N,N,,,07/27/2019
7347143453,1,,,,Kumar,Wei,L,,,DO PhD,,,,,,,,,,8977 Santa Monica Blvd,,San Francisco,CA,93001,US,929  753.2320,,8977 Santa Monica Blvd,,San Francisco,CA,93001,US,929  753.2320,,10/30/2019,09/22/2024,,,,,,,,,,207RE0101X,A93579,CA,Y,,,,,"{""identifier"": ""A93579"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BM1986289"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,N,,,10/30/2019
6705466880,1,,,,Clark,David,,,,DO PhD,,,,,,,,,,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,(212) 251-7613,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,(212) 251-7613,04/05/2019,07/08/2025,,,,M,,,,,,207Y00000X,060NY907189,NY,Y,,,,,"{""identifier"": ""060NY907189"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,"{""identifier"": ""BB2438713"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,N,N,,,04/05/2019
7204653751,1,,30-2967436,,Sanchez,Priya,R,,,DO,,,,,,,,,,2092 Pico Blvd,,Los Angeles,CA,92001,US,,,2092 Pico Blvd,,Los Angeles,CA,92001,US,(929) 979-7211,(347) 722-8160,05/26/2017,10/17/2024,,,,F,,,,,,207N00000X,A21003,CA,Y,,,,,"{""identifier"": ""A21003"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BF4866497"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,N,N,,,05/26/2017
1937452997,1,,,,Thompson,Michael,,,,DO,,,,,,,,,,660 Main St,,San Jose,CA,90004,US,(818) 935-2876,,660 Main St,,San Jose,CA,90004,US,(818) 935-2876,,09/15/2023,07/31/2025,,,,M,,,,,,207RN0300X,A41266,CA,Y,207Q00000X,,,N,"{""identifier"": ""BM3489477"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,,,,,N,,,09/15/2023
0586518502,1,,10-1388269,,Harris,Priya,,,,DO PhD,,,,,,,,,,3250 Wilshire Blvd,,San Jose,CA,90002,US,213  701.2729,(424) 313-1079,3250 Wilshire Blvd,,San Jose,CA,90002,US,213  701.2729,(424) 313-1079,10/20/2022,04/06/2025,,,,M,,,,,,207Y00000X,A99687,CA,Y,,,,,"{""identifier"": ""A99687"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,N,N,,,10/20/2022
7527354542,1,,,,Moore,Susan,,,,DO PhD,,,,,,,,,,9708 Lexington Avenue,,Rochester,NY,10004,US,(424) 918-5526,,9708 Lexington Avenue,,Rochester,NY,10004,US,(424) 918-5526,,04/11/2017,10/16/2024,,,,,,,,,,207Q00000X,060NY497399,NY,Y,,,,,"{""identifier"": ""060NY497399"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,"{""identifier"": ""BM4381305"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,,N,,,04/11/2017
8856855744,1,,16-1386843,,Shah,Linda,,,,DO,,,,,,,,,,8042 Santa Monica Blvd,Suite 514,Los Angeles,CA,90002,US,(347) 457-4777,(718) 760-7967,8042 Santa Monica Blvd,Suite 514,Los Angeles,CA,90002,US,(347) 457-4777,(718) 760-7967,03/27/2021,08/29/2025,,,,,,,,,,207RN0300X,A50135,CA,Y,,,,,"{""identifier"": ""A50135"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,,N,,,03/27/2021
0824008425,1,,,,Patel,Maria,J,,,MD PhD,,,,,,,,,,8596 Pico Blvd,,Fresno,CA,90002,US,(626) 970-9042,(718) 735-2395,8596 Pico Blvd,,Fresno,CA,90002,US,(626) 970-9042,(718) 735-2395,10/18/2022,01/23/2025,,,,M,,,,,,207L00000X,A57301,CA,Y,207P00000X,,,N,"{""identifier"": ""A57301"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BB8477088"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,N,,,10/18/2022
2941318698,1,,,,Lopez,Mary,R,,,MD,,,,,,,,,,7828 Fifth Ave,,Brooklyn,NY,11202,US,424  833.4697,(917) 531-4918,7828 Fifth Ave,,Brooklyn,NY,11202,US,424  833.4697,(917) 531-4918,02/15/2022,06/18/2025,,,,F,,,,,,207N00000X,060NY819796,NY,Y,,,,,"{""identifier"": ""BF1201969"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,,,,,N,N,,,02/15/2022
0344713493,1,,,,Wang,Charles,,,,MD,,,,,,,,,,1626 Hollywood Blvd,,San Jose,CA,90005,US,(626) 402-7965,(323) 341-5374,1626 Hollywood Blvd,,San Jose,CA,90005,US,(626) 402-7965,(323) 341-5374,09/11/2017,04/16/2025,,,,M,,,,,,207L00000X,A87832,CA,Y,,,,,"{""identifier"": ""BB1900408"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,,,,,N,,,09/11/2017
9065940132,1,,43-6448596,,Martin,William,,,,MD PhD,,,,,,,,,,7680 Central Park West,,Buffalo,NY,11202,US,(626) 789-1339,(213) 344-1551,7680 Central Park West,,Buffalo,NY,11202,US,(626) 789-1339,(213) 344-1551,01/17/2024,10/03/2024,,,,F,,,,,,208000000X,060NY617781,NY,Y,,,,,"{""identifier"": ""060NY617781"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,"{""identifier"": ""BF1018934"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",01,NY,DEA,,N,,,01/17/2024
5674680718,1,,81-3340240,,Lewis,Rajesh,,,,MD PhD,,,,,,,,,,9591 Second Ave,,Syracuse,NY,10002,US,(929) 458-6296,(310) 217-1137,9591 Second Ave,,Syracuse,NY,10002,US,(929) 458-6296,(310) 217-1137,12/22/2020,03/27/2025,,,,,,,,,,207X00000X,060NY436653,NY,Y,,,,,"{""identifier"": ""060NY436653"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,Y,N,,,12/22/2020
0932480860,1,,14-2020595,,Singh,Christopher,,,,MD PhD,,,,,,,,,,8168 Santa Monica Blvd,Suite 234,Los Angeles,CA,90004,US,,,8168 Santa Monica Blvd,Suite 234,LOS ANGELES,CA,90004,US,718  430.2858,(424) 218-5699,10/23/2024,10/16/2024,,,,F,,,,,,207RC0000X,A67424,CA,Y,,,,,"{""identifier"": ""A67424"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,N,N,,,10/23/2024
6584044997,1,,,,Clark,Thomas,,,,DO PhD,,,,,,,,,,3994 Santa Monica Blvd,Suite 713,San Francisco,CA,92001,US,,,3994 Santa Monica Blvd,Suite 713,San Francisco,CA,92001,US,(626) 701-3434,(718) 940-3879,12/26/2024,07/21/2025,,,,M,,,,,,207P00000X,A27892,CA,Y,,,,,"{""identifier"": ""A27892"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BB8688683"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,N,N,,,12/26/2024
2702895178,1,,,,Gonzalez,Li,,,,DO,,,,,,,,,,3827 Second Ave,,New York,NY,11201,US,(718) 738-8486,(818) 639-8130,3827 Second Ave,,New York,NY,11201,US,(718) 738-8486,(818) 639-8130,03/31/2018,04/20/2025,,,,F,,,,,,207R00000X,060NY950823,NY,Y,207Q00000X,,,N,,,,,,,,,N,N,,,03/31/2018
1343161179,1,,,,Yang,Mary,,,,DO PhD,,,,,,,,,,5384 Ventura Blvd,,Oakland,CA,91001,US,(646) 910-5906,,5384 Ventura Blvd,,Oakland,CA,91001,US,(646) 910-5906,,01/27/2025,03/30/2025,,,,F,,,,,,207U00000X,A73956,CA,Y,,,,,"{""identifier"": ""A73956"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,Y,N,,,01/27/2025
9237474079,1,,62-9971751,,Martinez,Linda,J,,,DO,,,,,,,,,,9273 Columbus Ave,Suite 724,Queens,NY,10003,US,,,9273 Columbus Ave,Suite 724,Queens,NY,10003,US,3478939955,(646) 465-4848,07/11/2017,10/17/2024,,,,,,,,,,207RN0300X,060NY749813,NY,Y,207RE0101X,,,N,,,,,,,,,,N,,,07/11/2017
6409097430,1,,,,Taylor,Ahmed,L,,,DO PhD,,,,,,,,,,3264 Rodeo Dr,Suite 685,Santa Ana,CA,90002,US,(424) 560-4588,,3264 Rodeo Dr,Suite 685,Santa Ana,CA,90002,US,(424) 560-4588,,02/05/2018,06/01/2025,,,,M,,,,,,207Q00000X,A48780,CA,Y,207RN0300X,,,N,"{""identifier"": ""A48780"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,Y,N,,,02/05/2018
2858842476,1,,,,Williams,Mohammed,,,,MD PhD,,,,,,,,,,547 Pico Blvd,Suite 402,Sacramento,CA,90003,US,(347) 964-6549,,547 Pico Blvd,Suite 402,Sacramento,CA,90003,US,(347) 964-6549,,08/15/2018,01/19/2025,,,,,,,,,,207T00000X,A64460,CA,Y,208000000X,,,N,"{""identifier"": ""BM9567062"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,,,,Y,N,,,08/15/2018
6513709858,1,,,,Sanchez,Priya,J,,,MD PhD,,,,,,,,,,6465 Broadway,Suite 477,Buffalo,NY,14201,US,,,6465 Broadway,Suite 477,Buffalo,NY,142**,US,(424) 426-2035,(323) 510-9201,07/14/2021,08/26/2025,,,,M,,,,,,207Y00000X,060NY805000,NY,Y,,,,,"{""identifier"": ""060NY805000"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,N,N,,,07/14/2021
2617964058,1,,,,Martin,Michael,J,,,DO PhD,,,,,,,,,,3847 York Ave,,Queens,NY,11202,US,917- 654-8285,(929) 852-8091,3847 York Ave,,Queens,NY,11202,US,917- 654-8285,(929) 852-8091,09/26/2015,02/21/2025,,,,M,,,,,,207Y00000X,060NY879238,NY,Y,207RG0100X,,,N,"{""identifier"": ""060NY879238"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,Y,N,,,09/26/2015
3352904223,1,,28-8777905,,Gonzalez,Thomas,L,,,MD,,,,,,,,,,7451 Wilshire Blvd,,San Jose,CA,95001,US,(323) 456-3858,(818) 827-9078,7451 Wilshire Blvd,,San Jose,CA,95001,US,(323) 456-3858,(818) 827-9078,03/10/2018,09/14/2024,,,,F,,,,,,207Y00000X,A82641,CA,Y,,,,,"{""identifier"": ""A82641"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BA3075757"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,Y,N,,,03/10/2018
9178390842,1,,63-1389216,,Johnson,Mary,,,,DO,,,,,,,,,,2077 Central Park West,Suite 165,Yonkers,NY,14201,US,(310) 858-1510,,2077 Central Park West,Suite 165,Yonkers,NY,14201,US,(310) 858-1510,,01/04/2019,04/08/2025,,,,M,,,,,,207RE0101X,060NY915809,NY,Y,,,,,"{""identifier"": ""060NY915809"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,N,N,,,01/04/2019
9847896119,1,,61-1854928,,Lewis,Fatima,L,,,MD,,,,,,,,,,5278 Pico Blvd,Suite 739,SAN FRANCISCO,CA,90002,US,(626) 866-4522,(626) 967-5570,5278 Pico Blvd,Suite 739,SAN FRANCISCO,CA,90002,US,(626) 866-4522,(626) 967-5570,06/07/2016,07/13/2025,,,,F,,,,,,207RO0300X,A81874,CA,Y,,,,,"{""identifier"": ""BB7225520"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,,,,Y,N,,,06/07/2016
6560494518,1,,30-2048273,,Miller,Linda,,,,MD PhD,,,,,,,,,,4177 Third Ave,Suite 951,Queens,NY,11203,US,424  719.4485,,4177 Third Ave,Suite 951,Queens,NY,11203,US,424  719.4485,,11/26/2022,12/22/2024,,,,,,,,,,207RC0000X,060NY714953,NY,Y,,,,,"{""identifier"": ""060NY714953"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,N,N,,,11/26/2022
4455022961,1,,,,Moore,James,,,,DO,,,,,,,,,,9191 Pico Blvd,,Los Angeles,CA,95001,US,,,9191 Pico Blvd,,Los Angeles,CA,95001,US,(718) 345-1502,(347) 233-1216,12/13/2018,10/19/2024,,,,F,,,,,,207X00000X,A45054,CA,Y,,,,,"{""identifier"": ""A45054"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,,,,,,N,,,12/13/2018
7679764386,1,,,,Martin,Patricia,,,,MD PhD,,,,,,,,,,9300 Pico Blvd,Suite 872,San Diego,CA,90001,US,,,9300 Pico Blvd,Suite 872,SAN DIEGO,CA,90001,US,(718) 553-8043,,01/17/2017,10/04/2024,,,,M,,,,,,207P00000X,A98338,CA,Y,207RN0300X,,,N,"{""identifier"": ""A98338"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BA7508783"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,,N,,,01/17/2017
5160607157,1,,,,Liu,Jennifer,,Dr.,,MD,,,,,,,,,,4939 Park Ave,Suite 222,Queens,NY,10005,US,(424) 639-7626,,4939 Park Ave,Suite 222,Queens,NY,10005,US,(424) 639-7626,,06/26/2024,11/09/2024,,,,F,,,,,,207W00000X,060NY341288,NY,Y,,,,,"{""identifier"": ""060NY341288"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",05,NY,NY Medical Board,,,,,Y,N,,,06/26/2024
5352181886,1,,27-8851435,,Yang,William,,,,DO PhD,,,,,,,,,,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,US,917- 994-6724,,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,US,917- 994-6724,,09/25/2023,09/06/2024,,,,F,,,,,,207L00000X,A20308,CA,Y,,,,,"{""identifier"": ""A20308"", ""type_code"": ""05"", ""state"": ""CA"", ""issuer"": ""CA Medical Board""}",05,CA,CA Medical Board,"{""identifier"": ""BB9866499"", ""type_code"": ""01"", ""state"": ""CA"", ""issuer"": ""DEA""}",01,CA,DEA,Y,N,,,09/25/2023
